num_page,Titre,SIREN,SIRET,Téléphone,Email,Qualifications, VEN, ANT,Maîtrise Qualité, SPV, EP, IRVE, CET, AC, CFMGTI, MGTI, CHE, CFLCPT, PAC, MIE, BR, LCPT,address,code_postal,ville,index_orig,effectif,capital,gerant
1,CASELLA ELECTRICITE,440636033,44063603300027,04 74 61 55 79,andre.casella@wanadoo.fr, MGTI &&  CHE &&  LCPT &&  IRVE,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5 HOTEL D'ENTREPRISE PIERRE BLANCH 330 ALLEE DES LILAS,01150,SAINT VULBAS CEDEX,0,6 à 9 salariés,"19 995,00 €",M Bruno CASELLA
1,SERELEC 37,348233560,34823356000021,02 47 59 36 59,contact@serelec37.com, MGTI &&  IRVE,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,45 ROUTE DE VAUZELLES ZI - BP 268,37602,LOCHES CEDEX,1,10 à 19 salariés,"100 000,00 €",M Gerard BERROIR
1,H3E,345200182,34520018200029,03 89 71 90 31,h.3.e@orange.fr, LCPT &&  IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,ZA 1 ZONE ARTISANALE,68240,FRELAND,2,6 à 9 salariés,"7 622,45 €",M Thiebaut HAXAIRE
1,EEP,348310061,34831006100026,03 22 20 14 00,secretariat@eep.fr, MGTI &&  CFMGTI &&  SPV &&  IRVE,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,7 B AVENUE ROBERT SCHUMANN BP 70417,80104,ABBEVILLE CEDEX,3,50 à 99 salariés,"1100000,00 EURO",M Pascal DARAGON
1,SAS THEBAULT,353874621,35387462100033,03 44 81 02 29,contact@thebault-electricite.com, LCPT &&  MGTI &&  CHE &&  CFLCPT &&  CFMGTI &&  IRVE,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,40 CHEMIN DES TISSERANDS,60112,HERCHIES,4,20 à 49 salariés,"300 000,00 €",M Frederic THEBAULT
1,SIBELEC,332927953,33292795300023,05 59 81 33 11,qse@sibelec.com, MGTI &&  IRVE,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,RUE SAINT EXUPERY ZAC MONHAUBA III,64230,LESCAR,5,20 à 49 salariés,"7 622,45 €",M Philippe MORELLO
1,EGA,333952208,33395220800036,0561053131,authie@ega09.fr, LCPT &&  PAC &&  IRVE,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,ZA FOIX NORD PERMILHAC,09000,FOIX,6,20 à 49 salariés,"30000,00 EURO (minimum)",M David ESTEVES
1,EIFFAGE ENERGIE SYSTEMES - ENERGIES RENOUVELABLES AQUITAINE,834243016,83424301600039,05 56 84 87 58,alex.chaignaud@eiffage.com, IRVE &&  SPV,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8 TER RUE DU PRE MEUNIER ZA DU COURNEAU,33610,CANEJAN,7,,"860 100,00 €",EIFFAGE ENERGIE SYSTEMES - REGIONS FRANCE
1,EGIB,339603094,33960309400063,03 82 57 53 94,sarlegib@wanadoo.fr, LCPT &&  IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11 RUE DES LANDES ZAC METZANGE BUCHEL,57100,VEYMERANGE THIONVILLE CEDEX,8,3 à 5 salariés,"8000,00 EURO",M Dominique DELLA ROVERE
1,SATE,335321733,33532173300032,0665177898,adrien.darragon@sate-elec.fr, LCPT &&  CHE &&  IRVE &&  MGTI,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,116 BD DE LA POMME MASTER PARK LOT 58,13011,MARSEILLE,9,10 à 19 salariés,"40 000,00 €",CADENE PARTICIPATIONS
