num_page,Titre,SIREN,SIRET,Téléphone,Email,Qualifications, VEN, ANT,Maîtrise Qualité, SPV, EP, IRVE, CET, AC, CFMGTI, MGTI, CHE, CFLCPT, PAC, MIE, BR, LCPT,address,code_postal,ville,index_orig,effectif,capital,gerant
21,SOLYELEC,915021661,91502166100011,0618216848,solyelec@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5 RUE DES ACACIAS,69630,CHAPONOST,200,,"1 000,00 €",M Jeason CONTESSA
21,GBM,807932157,80793215700025,04 50 94 23 64,CM@GBMELEC.FR, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155 ROUTE DE L ARNY,74350,ALLONZIER-LA-CAILLE,201,1 à 2 salariés,"10 000,00 €",M Cedric MOUCHET
21,ALSUN ENERGY,980455265,98045526500010,0629207874,anthony.lintzer@alsunenergy.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,671 ROUTE DE CREMIERE,69440,SAINT LAURENT D'AGNY,202,,"1 000,00 €",M Anthony LINTZER
21,ON & OFF ELEC,920795473,92079547300015,0650121975,contact@onoffelec.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10 AVENUE JEAN ALFONSEA E206,33270,FLOIRAC,205,,"5 000,00 €",M Pierrick LE GUENNEC
21,COUILLAUD NICOLAS,494442791,49444279100013,05 45 29 02 23,COUILLAUD.N@GMAIL.COM, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12 RUE DES ENCLOS LD LES ROUYERS,16700,NANTEUIL-EN-VALLEE,206,10 à 19 salariés,,
21,MB DOMOTIQUE,914144605,91414460500013,06 74 54 06 28,MBDOMOTIQUE74@GMAIL.COM, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4 AVENUE DU GENERAL DE GAULLE,74200,THONON-LES-BAINS,207,,"1 000,00 €",M Mohamed BOUDJEMAA
21,IRO ENERGIE BRETAGNE,982889479,98288947900019,0662021463,hmansour.iroenergie@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14 RUE MAURICE DE TRESIGUIDY,29190,PLEYBEN,208,,"10 000,00 €",M Wadieh MANSOUR
22,MULTIPACK,848001129,84800112900016,+33682925164,contact@multipack-nord.fr, LCPT &&  IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"28 B, RUE GERMAIN DELHAYE",59710,PONT-À-MARCQ,210,,"3000,00 EURO",M Francois-Hubert PAQUES
22,POWERIZE,983983156,98398315600016,0762150455,mm@powerize.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110 RUE DE FONTENAY,94300,VINCENNES,211,,"10 000,00 €",M Samy MANSOURI
22,ARTISANS ECOLOGIQUES SHOP,752148353,75214835300028,0699479944,bureau@artisansecologiques.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 A RTE D ALGRANGE,57100,THIONVILLE,212,1 à 2 salariés,"5 000,00 €",M Thierry SPINA
22,GREENLIGHT,983024381,98302438100011,0698919113,abden947@live.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11 RUE DE LONDRES,94700,MAISONS-ALFORT,213,,"1 000,00 €",M Abdennour FERIGUI
22,ROUBAUD ELECTRICITE,804039428,80403942800029,0616541123,roubaud.electricite@gmail.com, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44 TRAVERSE DU MAROC,13012,MARSEILLE 12,214,,"5 000,00 €",M Gabriel ROUBAUD
22,STELEC,920714292,92071429200017,0665552606,s.nouvel@stelec34.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21 RUE DES ASPHODELES,34660,COURNONTERRAL,215,,"3 000,00 €",M Stephane NOUVEL
22,DRON ELECTRICITE,980244495,98024449500019,0766664206,paulandre.dron@outlook.fr, IRVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 RUE DES IRIS,62880,VENDIN-LE-VIEIL,216,,"5 000,00 €",M Paul-Andre DRON
